도서명	저자	출판사	출판일	가격
그림으로 이해하는 네트워크 구조와 기술	나카오 신지, 김성훈	길벗	2023년 07월	19,800
프로덕트 매니지먼트	김영욱	한빛미디어	2023년 06월	20,700
포켓몬스터 레츠고! 피카츄ㆍ레츠고! 이브이 속성클리어모험가이드		학산문화사(단행본)	2022년 11월	10,800
실용주의 프로그래머	데이비드 토머스, 앤드류 헌트, 정지용, 김창준	인사이트(insight)	2022년 02월	29,700
Real MySQL 8.0 (1권)	백은빈, 이성욱	위키북스	2021년 09월	27,000
함께 자라기	김창준	인사이트(insight)	2018년 11월	11,700
모두의 파이썬	이승찬	길벗	2018년 10월	10,800
친절한 SQL 튜닝	조시형	디비안(DBian)	2018년 06월	34,200
도널드 노먼의 디자인 심리학	도널드 노먼, 범어디자인연구소	유엑스리뷰	2018년 04월	31,500
Do it! 오토캐드 2027 + AI	박한울	이지스퍼블리싱	2026년 06월	27,900
게임으로 철학하기	주자안, 정세경	현암사	2026년 05월	20,700
일 잘하는 직장인	일머리스쿨 (송경이,  유진희)	이지스퍼블리싱	2025년 11월	16,200
생성형 AI를 위한 프롬프트 엔지니어링	제임스 피닉스, 마이크 테일러, 정의형, 정한결	한빛미디어	2025년 06월	34,200
AI와 라이프 아크	노유진	커뮤니케이션북스	2026년 07월	12,000
그로스 IQ, 비즈니스 성장 바이블	티파니 보바, 고현석	골든래빗	2026년 07월	25,200
생성형 AI로 완성하는 회계 · 세무실무	박현준	도서출판배움	2026년 04월	10,800
AWS 교과서	서종호, 김원일, 김석필	길벗	2026년 07월	34,200
내 AI 천재로 키우는 법 1	이태종	이태종NIE논술연구소	2026년 07월	22,500
AI를 활용한 실내디자인 프레젠테이션 스킬	박남용	피앤피북	2026년 07월	20,700
회사에서 바로 통하는 오토캐드 AutoCAD 2027	심미현	한빛미디어	2026년 06월	26,100
프롬프트 해부학	박민지	루비페이퍼	2026년 06월	25,200
준비 끝 다음 수업 AI 에듀테크	노희경	비제이퍼블릭(BJ퍼블릭)	2026년 06월	24,750
이것이 멀티 에이전트다	서지영	한빛미디어	2026년 06월	31,500
유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트	조현정	골든래빗	2026년 06월	21,600
트랜스포머 아키텍처로 배우는 AI 에이전트 with 랭체인 & 랭그래프	장철원	한빛미디어	2026년 05월	35,100
코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문	신동현	길벗	2026년 05월	25,200
프로덕트 디자이너로 살아남기	강영화	이오스튜디오	2026년 05월	17,100
이게 되네? 나노바나나 2 AI 비포&애프터 미친 활용법 82제	쌩초	골든래빗	2026년 05월	21,600
중국 휴머노이드 로봇	김종문	다빈치books	2026년 05월	19,800
기계가 언어를 사용한다는 것에 대한 인문학적 사유	마크 코켈버그, 데이비드 J.건컬, 신동숙, 손화철	생각이음	2026년 04월	17,100
LangChain과 LangGraph로 만드는 LLM 애플리케이션 2/e	벤 아우파스, 레오니드 쿨리긴, 옥경석, 박규성	에이콘출판사	2026년 04월	36,000
된다! AI 디자인 2026	김희재	이지스퍼블리싱	2026년 04월	26,820
딸깍! 바이브 코딩 by 안티그래비티	반병현	생능북스	2026년 04월	22,500
AI로 만드는 노래와 뮤직비디오	전진규	시대인	2026년 04월	12,600
돈이 들어오는 무재고 위탁판매 쇼핑몰	전진수	혜지원	2026년 03월	15,300
AI 시대 엄마가 먼저 알아야 할 최상위 공부법	오주연, 김지예, 김현아	한빛비즈	2026년 03월	19,800
AI 자율학습 제미나이로 일 잘하는 법	성구(강성규)	길벗	2026년 04월	23,400
일머리를 설계하는 AI 워크플로 with n8n	이왕석	한빛미디어	2026년 03월	25,200
된다! AI 상위 노출	이중대	이지스퍼블리싱	2026년 03월	17,100
변화를 기회로 만드는 AI력	정규진	민음인	2026년 03월	20,700
누구나 아는 나만 모르는 챗GPT(개정판) : 세상에서 가장 쉬운 챗GPT & AI 입문서	이성원	한빛미디어	2026년 02월	17,100
에지 컴퓨팅과 피지컬 AI를 위한 라즈베리파이 5	허경용	제이펍	2026년 02월	27,000
AI 게임 개발 with 코덱스	정윤지(유리링)	한빛미디어	2026년 02월	28,800
대체불가능	파스칼 보넷, 김정민	제이펍	2026년 02월	19,800
한 권으로 끝내는 실전 LLM 파인튜닝	강다솔	위키북스	2026년 02월	28,800
누구나 아는 나만 모르는 제미나이	이성원	한빛미디어	2026년 01월	17,100
직장인을 위한 AI 실무 엑셀	선양미	길벗	2025년 12월	22,500
올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문	서영배, 김병규, 임재봉	위키북스	2026년 01월	25,200
대한민국 교육 르네상스 : 대전환시대 교육의 본질을 탐하다	지미정, 김진관, 윤신영, 박미지, 윤여옥, 정보 더 보기/감추기, 지미정, 김진관, 윤신영, 박미지, 윤여옥, 김희수, 박선정, 강원빈, 이대형, 서지나, 서동욱, 하나, 남궁정, 임보라, 김하연	앤써북	2026년 01월	18,000
AI 버블이 온다	아르빈드 나라야난, 사야시 카푸르, 강미경	윌북(willbook)	2025년 12월	22,320
그로스 해킹 (10주년 기념 증보판)	라이언 홀리데이, 고영혁	길벗	2025년 11월	19,800
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함	이호정	리코멘드	2025년 11월	25,200
이공계생을 위한 파이썬 필수예제 2	윤성호	지오북스	2025년 10월	25,000
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기	박현규	골든래빗	2025년 09월	21,600
AI 에이전트 생태계	조쉬	로드북	2025년 08월	24,300
회사에서 바로 통하는 실무 엑셀 데이터 활용+분석	김경자, 송선영	한빛미디어	2025년 07월	23,400
디자인 트렌드 아카이브 포토샵 & 일러스트레이터	김혜주	제이펍	2025년 07월	21,600
시작하세요! 도커/쿠버네티스	용찬호	위키북스	2025년 07월	32,400
테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편	이경록	리코멘드	2025년 05월	30,600
디자인 감각 제대로 키우는 법	가마타 다카시, 김현미	시프트	2025년 05월	17,100
된다! 업무에 바로 쓰는 구글 활용법	이광희	이지스퍼블리싱	2025년 04월	18,900
레트로의 유니티 6 게임 프로그래밍 에센스	이제민	한빛미디어	2025년 02월	59,400
밑바닥부터 시작하는 딥러닝 1	사이토 고키, 개앞맵시	한빛미디어	2025년 01월	23,400
선생님을 위한 노션	임세범	앤써북	2025년 01월	19,620
누구나 아는 나만 모르는 엑셀	이성원	한빛미디어	2024년 11월	15,300
혁펜하임의 Easy! 딥러닝	혁펜하임	북엔드	2024년 11월	31,500
아무도 알려 주지 않는 PM 필수 지식	최선신	영진닷컴	2024년 10월	19,800
그림과 실습으로 배우는 깃 & 깃허브 입문	한재원	위키북스	2024년 09월	24,300
코파일럿+엑셀 업무자동화 정석	권현욱	디지털북스	2024년 08월	19,800
무작정 따라하기 엑셀 파워포인트 워드+한글	박미정, 박은진	길벗	2024년 07월	22,500
초등부터 중등까지 한 권으로 끝내는 엔트리와 40개의 작품들	전진아, 김수연	앤써북	2024년 06월	15,930
개발자를 위한 필수 수학	토머스 닐드, 박해선	한빛미디어	2024년 06월	27,000
게임 시나리오 기획자를 위한 안내서	양정윤	에이콘출판사	2024년 05월	23,400
다시 꺼내는 아이패드 Re:드로잉 with 프로크리에이트	금손햄찌	앤제이BOOKS	2024년 06월	20,700
권학봉의 포토샵&라이트룸 클래식 사진보정 강의	권학봉	황금부엉이	2024년 05월	44,550
그림으로 이해하는 알고리즘	이시다 모리테루, 미야자키 슈이치, 이동규	길벗	2024년 04월	19,800
디자인, 이것만 알면 쉬워져요 with 63가지 LESSON	요네쿠라 아키오, 이쿠타 신이치, 아오야나기 치사토, 최재원	책만	2024년 02월	18,000
파이썬 생활 프로젝트 코딩	서승희	길벗	2023년 08월	16,200
견고한 데이터 엔지니어링	조 라이스, 맷 하우슬리, 김인범	한빛미디어	2023년 06월	34,200
린 스타트업 (10주년 기념판)	애시 모리아, 권혜정	한빛미디어	2023년 06월	21,600
파이썬 코딩 도장	남재윤	길벗	2023년 01월	27,000
C언어 Express	천인국	생능출판사	2023년 01월	32,000
마인크래프트 서바이벌 핸드북	Mojang Studio, 이주안	영진닷컴	2022년 12월	10,800
마인크래프트 레드스톤 핸드북	Mojang Studio, 이주안	영진닷컴	2022년 12월	10,800
코딩 자율학습 나도코딩의 C 언어 입문	나도코딩	길벗	2022년 10월	23,400
The art of game design (한국어판)	윤형섭, 한호성	홍릉과학출판사	2022년 09월	37,050
훅: 일상을 사로잡는 제품의 비밀	니르 이얄, 조자현	유엑스리뷰	2022년 05월	20,700
코딩 자율학습 HTML + CSS + 자바스크립트	김기수	길벗	2022년 04월	24,300
된다! 사각사각 아이패드 드로잉 with 프로크리에이트	레이나, 임예진, 캘리스마인드	이지스퍼블리싱	2021년 06월	21,600
데이터 과학을 위한 통계	피터 브루스, 앤드루 브루스, 피터 게데크, 이준용	한빛미디어	2021년 05월	30,600
유니티를 몰라도 만들 수 있는 유니티 2D 게임 제작	모리 요시나오, 김은철, 유세라	영진닷컴	2021년 02월	19,800
수학대백과사전	구라모토 다카후미, 린커넥터	동양북스(동양books)	2020년 12월	16,200
카카오톡 이모티콘 만들기	소콘소콘 김소희	길벗	2020년 09월	14,400
한컴오피스 2020 한글+한셀+한쇼+한워드	㈜한글과컴퓨터, 허미현, 부성순	영진닷컴	2020년 07월	17,100
STM32CubeIDE를 이용한 STM32 따라하기	김남수, 이진형	북랩	2020년 06월	19,800
최강 브롤러 전략 가이드북	제이슨 리치	서울문화사	2020년 02월	14,220
그림으로 배우는 네트워크 원리	Gene, 김성훈	영진닷컴	2020년 02월	14,400
된다! 7일 실무 엑셀	한정희	이지스퍼블리싱	2019년 07월	18,000
모두의 데이터 분석 with 파이썬	송석리, 이현아	길벗	2019년 04월	16,200
Clean Code 클린 코드	로버트 C. 마틴, 박재호, 이해영	인사이트(insight)	2013년 12월	29,700
린 스타트업	에릭 리스, 이창수, 송우일	인사이트(insight)	2012년 11월	16,200
머신러닝 플랫폼 엔지니어링	벤저민 탄 웨이 하오, 샤눕 파드마나반, 바룬 말랴, 허정준	책만	2026년 07월	31,500
디자인, 이렇게 하면 되나요? (최신 개정판)	오자와 하야토, 구수영	제이펍	2026년 06월	19,620
오렌지3 with 파이썬	김현철, 김종혜, 박종화, 임진숙	생능북스	2026년 06월	28,800
AI기본법이 뭐길래	노신정, 마작가	페스트북	2026년 06월	15,300
파이썬의 도구들	정국진	영진닷컴	2026년 06월	21,600
AI 생존 지도	이석현	여림재	2026년 06월	18,000
AI 에이전트 개발과 운영 올인원 가이드	온다 미노루, 오쓰보 유, 쓰카다 마사키, 두발타고	제이펍	2026년 06월	29,700
처음 시작하는 바이브 코딩	사카이 마리코, KEITO, 고범석, 이한나	영진닷컴	2026년 06월	18,000
Node.js + NestJS 교과서	조현영	길벗	2026년 05월	36,000
취미가 돈이 되는 인스타툰	이건용	시프트	2026년 06월	19,800
AI 에이전트 개발 완벽 입문	에디 유, 김대규, 조경아, 김현지	위키북스	2026년 04월	37,800
네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make	조영빈	디지털북스	2025년 04월	18,000
나의 첫 노션 Notion 마스터북	이유미	비즈니스북스	2024년 07월	17,550
혼자 공부하는 자바스크립트	윤인성	한빛미디어	2021년 01월	21,600
AI 창업 퍼실리테이터	박상혁, 이명관	커뮤니케이션북스	2026년 07월	12,000
SAP ABAP 이야기 1 - Home 서버 설치 및 ABAP 입문	김병순	BOOKK(부크크)	2026년 07월	28,000
무조건 승인되는 이모티콘 & 굿즈 만들기	백지수	시대인	2026년 07월	16,200
이공계생을 위한 파이썬 필수예제 3	윤성호	지오북스	2026년 09월	29,000
컴퓨터 왕기초(윈도우 11&인터넷(엣지)&한글 2022&엑셀 2021&파워포인트 2021)	OPIG 교재편찬팀	시대인	2026년 07월	13,500
고등학생을 위한 실습으로 배우는 데이터 과학	윤태현, 나소영	삼양미디어	2026년 07월	22,500
Physical AI 지능제어 입문	박연묵	교우	2026년 07월	20,000
생성형 AI와 메타버스 그리고 지식재산권	송은지	커뮤니케이션북스	2026년 07월	12,000
처음이야? 파이썬 데이터 모델링&머신러닝	윤영빈, 오환, 이용희	영진닷컴	2026년 07월	22,500
테디노트의 LangGraph 에이전트 비법노트	이경록, 김태한, 임한택, 최재훈, 강민석, 정보 더 보기/감추기, 이경록, 김태한, 임한택, 최재훈, 강민석, 김성연	리코멘드	2026년 07월	30,600
실전 코딩 테스트 가이드	이상도, 쩜튜브, 김민상	영진닷컴	2026년 06월	25,200
생성형 AI와 틴커캐드로 완성하는 아두이노 발명 프로젝트	이은상	BOOKK(부크크)	2026년 06월	19,700
현직 개발자가 알려주는 Claude Code - 초 보 에 서 전 문 가 되기	일락	BOOKK(부크크)	2026년 06월	44,100
블렌더 3D 아트워크 완성 클래스	장승필	영진닷컴	2026년 06월	25,200
평범한 일상을 특별하게 남기는 스마트폰 사진 & 보정	최은영	시대인	2026년 06월	18,000
에이전틱 AI와 바이브 코딩 AI 개발의 정석 with 언리얼	이영호, 이영훈, 탁광욱, 김현진, 나유선, 정보 더 보기/감추기, 이영호, 이영훈, 탁광욱, 김현진, 나유선, 박현상, 배주백	성안당	2026년 06월	39,900
AI 3D 모델링	양영민	비엘북스	2026년 06월	22,500
퇴근을 앞당기는 AI 업무 활용 루틴	오언주	시대인	2026년 06월	17,100
베테랑 AI 전문교사가 만든 가장 쉬운 패들렛 활용! Padlet(패들렛)으로 무엇이든 만들 수 있다 (교사를 위한 패들렛 수업 활용)	봉우리, 윤상준, 이호준, 황호연	광문각출판미디어	2026년 05월	17,000
한 권으로 끝내는 AI 자동화	최재용, 이요셉, 이신우, 최금선, 박경희, 정보 더 보기/감추기, 최재용, 이요셉, 이신우, 최금선, 박경희, 유미경, 한주은, 오영주, 정은진, 김진수	두온교육(주)	2026년 05월	19,800
기업 AI자동화를 위한 클로드 AI활용	최재용, 박경희, 신진주, 임기정, 권혁용, 정보 더 보기/감추기, 최재용, 박경희, 신진주, 임기정, 권혁용, 김진수, 최동진, 김진선	미디어북	2026년 05월	20,000
LLMOps 완벽 가이드	아비 아리안, 박조은, 박주환	한빛미디어	2026년 05월	28,800
바이브코딩으로 진짜 웹 서비스 하나를 끝까지 만든다!	이상용, 정동진	앤써북	2026년 05월	16,920
오픈클로	오창근	생능북스	2026년 05월	19,800
함수형 설계, 객체 지향과 만나다	로버트 C. 마틴, 장연호	인사이트(insight)	2026년 05월	29,700
3주 완성 초등 AI 웹툰 With 투닝, 망고툰	한송이	서사원주니어	2026년 05월	18,000
모던 데이터 아키텍처 설계와 구현	피트하인 스트렝홀트, 김영기, 김현진	책만	2026년 05월	29,700
Do it! 바이브 코딩 + 안티그래비티	조준수	이지스퍼블리싱	2026년 05월	21,600
맛있는 디자인 애프터 이펙트 CC 2026	이수정	한빛미디어	2026년 04월	24,300
베테랑 AI 전문가가 만든 가장 쉬운 그록 AI 활용! Grok(그록)으로 무엇이든 만들 수 있다 (AI 비서 · 영상 만들기, 유튜브 수익화)	이현, 이민정, 이승현, 이나윤, 김성희	광문각출판미디어	2026년 04월	19,000
요즘 예체능 수업을 위한 에듀테크 활용법 223제	박래혁	앤써북	2026년 05월	20,970
몰입을 설계하는 게임 기획	쉬웨이훙, 권유라	제이펍	2026년 04월	25,200
요즘 교실 혁신의 공식 AI·에듀테크 활용법 with 2022 개정 교육과정	진제헌	앤써북	2026년 05월	20,970
구글 AI 제미나이(Gemini) 200% 활용법	정의	BOOKK(부크크)	2026년 04월	8,800
그림으로 이해하는 AWS 구조와 기술	오가사와라 시게타카, 박광수	길벗	2026년 04월	23,400
F1 용어집 1211	윤재수	골든래빗	2026년 04월	60,000
AI 프로덕트는 어떻게 만들어지는가	류인태, 김예림, 임나정	한빛미디어	2026년 04월	22,500
젠스파크 Genspark AI 콘텐츠 공장	조영빈	디지털북스	2026년 04월	18,000
앗싸 나도 되네! 오늘부터 바로 써먹는 AI 보험영업 활용법	조대수	재노북스	2026년 03월	25,200
어쨌든, 에이전틱 코딩	코다프레스, 양희은	인사이트(insight)	2026년 04월	22,500
스프링 AI 인 액션	크레이그 월즈, 류광, 307번역랩	위키북스	2026년 04월	28,800
이것이 리눅스다 with Rocky Linux 10	우재남	한빛미디어	2026년 03월	36,000
Logic Pro 로직 프로 12	최이진	노하우(도서출판)	2026년 04월	29,700
학업과 취업을 위한 제미나이 노트북LM으로 무엇이든 만들 수 있다	전다희, 황우현	광문각출판미디어	2026년 02월	22,000
제미나이로 구글·이미지·영상·자동화 진짜 잘함	이호정	리코멘드	2026년 03월	16,920
SQL TUNER for PostgreSQL	유일환	디비안(DBian)	2026년 03월	39,000
오픈클로 with GPT, 제미나이, 클로드	강민혁	한빛미디어	2026년 03월	19,800
AI 중심 대학	장준호	연암사	2026년 03월	17,010
파이토치로 배우는 LLM & AI	로런스 모로니, 박해선	한빛미디어	2026년 03월	32,400
한 입 크기로 잘라 먹는 리액트	이정환	인사이트(insight)	2026년 02월	29,700
지속 가능한 프런트엔드 엔지니어링	이문기	위키북스	2026년 02월	25,200
된다! 링크드인 활용법	변재일	이지스퍼블리싱	2026년 03월	19,800
교실로 온 ON 제미나이	박찬, 김병석, 전수연, 김지용, 구현희, 정보 더 보기/감추기, 박찬, 김병석, 전수연, 김지용, 구현희, 전채원, 홍찬우, 임채원	다빈치books	2026년 03월	19,800
처음이지만 프로처럼 쓰는 캔바 (Canva)	정다은(시재)	디지털북스	2026년 03월	27,000
AI 에이전트 마스터 클래스	김구현	한빛미디어	2026년 01월	23,400
바로 배워 바로 쓰는 챗봇 수업디자인 A~Z	김은현, 박소현, 백진희, 이서연, 이유진, 정보 더 보기/감추기, 김은현, 박소현, 백진희, 이서연, 이유진, 이효진, 정은서	앤써북	2026년 01월	21,600
제대로 알고 쓰는 논문 통계분석 with 파이썬&머신러닝	노경섭	한빛아카데미	2026년 01월	38,000
심리상담과 AI의 융합	이혜숙	커뮤니케이션북스	2026년 01월	12,000
왕초보 시니어도 쉽게 따라 하는 챗GPT 사용법	곽민철, 정희철	생능북스	2026년 01월	15,120
AI로 완성하는 고수익 유튜브 운영 비법	현승효(디스이즈머니)	시대인	2026년 01월	16,200
처음 배우는 유니티 6 2D 게임 만들기	고정운	시대인	2026년 01월	43,200
API부터 메시징까지, 실무 백엔드 개발자가 알아야 할 5가지 핵심 원리	김준서	콩콩 컴퍼니	2025년 12월	19,500
AI시대 교육혁명 : 태재대학교	염재호	태재대학교출판문화원	2026년 01월	13,500
LLM을 위한 프롬프트 엔지니어링	존 베리먼, 앨버트 지글러, 김정인	제이펍	2026년 01월	25,200
프롬프트를 만드는 프롬프트 GPTs & Gems	민진홍, 국난아, 김진수	성안당	2025년 12월	24,300
AI를 움직이는 수학 이야기	후루시마 도오루, 하승민	한빛미디어	2025년 12월	29,700
AI와 음악 교육	윤관기	커뮤니케이션북스	2025년 12월	12,000
Google로 수업을 바꾸는 교사들의 시크릿	정진아, 권재범, 김학민, 박빛나, 박오종, 정보 더 보기/감추기, 정진아, 권재범, 김학민, 박빛나, 박오종, 심하루, 강경욱	교사크리에이터협회	2025년 12월	18,900
회사에서 바로 통하는 파워포인트 FOR STARTERS	이화진	한빛미디어	2025년 12월	15,300
2026 AI 교육 트렌드	박소이, 유영걸, 오유나, 김영준, 김정환, 정보 더 보기/감추기, 박소이, 유영걸, 오유나, 김영준, 김정환, 정나래, 한창훈	길벗	2025년 12월	22,500
파이썬으로 시작하는 인공지능 기초 수업	채상미, 우범윤, 이준용	길벗	2025년 11월	22,500
일 잘하는 엔지니어의 생각 기법	캐리 밀샙, 장현희	책만	2025년 11월	22,500
C# 스크립트를 활용한 유니티 6 개발	렘 애퍼슨, 장세윤	에이콘출판사	2025년 11월	37,800
쉽게 배우고 바로 쓰는 에듀테크 첫걸음	조종현, 박미지, 김승길	성안당	2025년 11월	16,200
바이브 코딩 너머 개발자 생존법: 개발자는 사라지지 않는다, 진화한다	애디 오스마니, 강민혁	한빛미디어	2025년 11월	20,700
멘토시리즈 일러스트레이터	코리아교육그룹 연구소	코리아교육그룹	2025년 09월	25,200
MCP 실전 활용 & 서버 개발 핵심 가이드	AI튜터랩	위키북스	2025년 11월	25,200
그림으로 이해하는 챗GPT 구조와 기술	나카타니 슈요, 박광수	길벗	2025년 11월	21,600
챗GPT, 저는 이렇게 쓰고 있어요	최소영	길벗	2025년 11월	16,920
똑똑한 파이썬	황재호, 황예린	인포앤북	2025년 11월	19,800
회사에서 바로 통하는 엑셀 FOR STARTERS	전미진	한빛미디어	2025년 10월	15,300
실무에 바로 쓰는 일잘러의 챗GPT 프롬프트 74가지	이석현	제이펍	2025년 10월	19,800
유니티 교과서	김은철, 기타무라 마나미, 유세라	길벗	2025년 10월	29,700
스케치업 2025 with Ruby+Twinmotion	황두환	시대인	2025년 10월	25,200
AI로 만드는 나만의 그림책	민진홍, 국난아	성안당	2025년 10월	22,500
요즘 당근 AI 개발	당근 팀	골든래빗	2025년 10월	19,800
된다! 네이버 스마트스토어	이경근	이지스퍼블리싱	2025년 10월	21,600
Do it! 커서로 시작하는 AI 코딩 입문	고경희	이지스퍼블리싱	2025년 09월	20,700
마인크래프트 RPG 만들기	우마공 운영진	영진닷컴	2025년 09월	17,820
블렌더 3D CG 애니메이션 실전 입문	나츠모리 카츠, 김모세	AK(에이케이 커뮤니케이션즈)	2025년 09월	37,810
VPython으로 시작하는 융합 시뮬레이션 수업	송석리, 박솔애	길벗	2025년 09월	22,500
데이터 시각화와 탐색 with POWER BI 3rd	마경근, 서주란	영진닷컴	2025년 09월	27,000
AI 캡컷	민지영, 문수민, 앤미디어	생능북스	2025년 09월	23,400
코딩 자율학습 리액트 프런트엔드 개발 입문	김기수	길벗	2025년 09월	37,800
회사에서 바로 통하는 오토캐드 AutoCAD 2026	심미현	한빛미디어	2025년 08월	26,100
실전! 프로젝트로 배우는 딥러닝 컴퓨터비전	김혜진, 왕진영	위키북스	2025년 08월	31,500
오늘을 남기는 기록, 스마트폰 사진 촬영&보정	민썸	이지스퍼블리싱	2025년 08월	18,900
AI와 심리상담	황매향	커뮤니케이션북스	2025년 08월	11,400
MS 365의 모든 것	이상민, 김홍순, 강현욱	리더북스	2025년 07월	16,200
모두의 인공지능 with 파이썬	이영호	길벗	2025년 07월	27,000
스포츠, AI와 동행하다	크리스 브래디, 카를 튈스, 샤예간 오미드샤피예, 박재현, 이태구, 정보 더 보기/감추기, 크리스 브래디, 카를 튈스, 샤예간 오미드샤피예, 박재현, 이태구, 구멍가게 코딩단	성안당	2025년 07월	18,000
암호, 비밀을 지키는 과학	파노스 루리다스, 안동현	프리렉	2025년 07월	19,800
파인만의 컴퓨터 강의	리처드 파인만, 토니 헤이, 서환수	한빛미디어	2025년 06월	26,100
게임 UI 디자인 교과서	이은정, 김범석	길벗캠퍼스	2025년 06월	33,000
처음이야? 파이썬 데이터 분석	윤영빈, 이용희, 오환	영진닷컴	2025년 06월	19,800
AI와 비판적 포스트휴머니즘	박휴용	커뮤니케이션북스	2025년 06월	12,000
선생님을 위한 교육용 AI 챗봇 활용법	임세범, 박지은, 나희정, 조정연	앤써북	2025년 06월	20,250
한 권으로 끝내는 직장인 필수 IT 지식	정명림, 김효섭, 박준영, 이수현, 박지은, 정보 더 보기/감추기, 정명림, 김효섭, 박준영, 이수현, 박지은, 이지성	비제이퍼블릭(BJ퍼블릭)	2025년 05월	24,750
59가지 통계학 궁금증 완전 정복	황성원	길벗	2025년 05월	21,600
러닝 랭체인	메이오 오신, 누노 캄포스, 강민혁	한빛미디어	2025년 05월	25,200
코딩 자율학습 컴퓨터 구조와 운영체제	기술노트 알렉	길벗	2025년 05월	23,400
AI x 창의성: 미술·혁신·교육	박지숙	아트브릿지	2025년 04월	17,820
아이패드 드로잉으로 기록하는 일상의 조각들	이이오	한빛라이프	2025년 05월	19,800
주니어 백엔드 개발자가 반드시 알아야 할 실무 지식	최범균	한빛미디어	2025년 04월	25,200
모두의 딥러닝	조태호	길벗	2025년 04월	26,100
맥킨지의 로지컬 라이팅	아카바 유지, 이지현	유엑스리뷰	2025년 04월	20,700
생성 AI를 활용한 나만의 콘텐츠 만들기	김민후	영진닷컴	2025년 04월	22,500
쉽고 빠르게 익히는 실전 LLM	시난 오즈데미르, 신병훈	한빛미디어	2025년 03월	27,000
선생님을 위한 8282 업무 자동화 with AI+파이썬+노코드	강우혁, 김송희, 서승희, 송석리, 한솔, 정보 더 보기/감추기, 강우혁, 김송희, 서승희, 송석리, 한솔, 한준구, 황수빈	골든래빗	2025년 04월	25,200
UX/UI 디자인 완벽 가이드: UI, 인터랙션, 프로토타이핑 편	조성봉, 이정은	위키북스	2025년 03월	25,200
일반통계학	서울대학교 자연과학대학 통계학과	한빛아카데미	2025년 03월	35,000
개념탑재 오토캐드	정인수, 이승열, 김애림, 이예진	피앤피북	2025년 02월	22,500
Kotlin in Action 2/e	세바스티안 아이그너, 로만 엘리자로프, 스베트라나 이사코바, 드미트리 제메로프, 오현석	에이콘출판사	2025년 02월	43,200
띠웅's 타이포그래피 with 프로크리에이트	띠웅	다산스마트에듀	2025년 01월	22,500
된다! 맥북&아이맥 - 맥OS 세쿼이아 판	쌤쌤티비, 케이트	이지스퍼블리싱	2025년 01월	17,100
150분이면 충분한 중고등학교 기초 수학	요네다 마사타카, 손민규	제이펍	2025년 01월	18,000
만들면서 배우는 아두이노와 40개의 작품들	장문철	앤써북	2024년 12월	22,950
파이썬으로 탐구하는 지구과학 데이터 분석 & 시각화	심원재, 손현준	비제이퍼블릭(BJ퍼블릭)	2024년 12월	28,800
고작 다섯 명이 한 말을 어떻게 믿어요?	송라영	한빛미디어	2024년 12월	20,700
앱인벤터로 20가지 인공지능 앱 만들기 with ChatBot과 생성형AI	김수연, 전진아, 장문철	앤써북	2024년 12월	16,920
실무에 바로 쓰는 일잘러의 제안서 작성법	박서윤	제이펍	2024년 11월	15,120
AGI의 시대	한상기	한빛미디어	2024년 11월	19,800
된다! 7일 실무 워드	이충욱	이지스퍼블리싱	2024년 11월	16,200
한 권으로 배우는 게임 프로그래밍	박태준, 박효재, 윤하연	한빛미디어	2024년 10월	25,200
