도서명	저자	출판사	출판일	가격
AI로 차트, 그래프, 인포그래픽 한 번에 끝내기	이현	천그루숲	2026년 01월	16,200
그림으로 배우는 가상화 구조	스즈키 켄지, 무네무라 타쿠미, 마루야마 카츠야스, 오우 쇼, 김성훈	영진닷컴	2026년 01월	15,300
우리, 프로그래머들 We, Programmers	로버트 C. 마틴, 최희철	길벗	2026년 01월	27,900
IT@CookBook, 유니티 입문	이종원, 신유철, 이승환	한빛아카데미	2026년 01월	33,000
출근길에 읽고 퇴근길에 완성하는 바이브 코딩	노승헌	더 타이즈	2026년 02월	19,800
AI 프로젝트 100% 성공을 위한 체크리스트 17	유진호	책만	2026년 01월	25,200
AI 디자인 활용백과	채시은	스마트북스	2026년 01월	22,500
심리상담과 AI의 융합 (큰글자책)	이혜숙	커뮤니케이션북스	2026년 01월	25,000
네이버 블로그 역제안 가이드	마케터C(김명경)	한빛미디어	2026년 02월	19,800
마인크래프트 블록 완벽 가이드	Mojang Studio, 강세중	영진닷컴	2026년 01월	22,500
MK에디션 CES 2026	매일경제 CES 특별취재팀	매일경제신문사	2026년 01월	18,000
디지털 게임 레벨 디자인 가이드	김익환	다윈의서재	2026년 01월	65,000
AI와 심리적 안정감	원미영	커뮤니케이션북스	2026년 01월	12,000
인공지능이 답할 때 교육은 무엇을 묻는가	함영기	에듀니티교육연구소(에듀니티)	2026년 01월	18,000
모던 API 아키텍처 설계 전략	제임스 고프, 대니얼 브라이언트, 매튜 어번, 장현희	책만	2026년 01월	28,800
포토샵 & 일러스트레이터 & 인디자인 CC 2026	김경미, 최리진	생능북스	2026년 01월	22,500
코틀린&스프링 부트로 개발은 처음인데요	정보근	더 타이즈	2026년 01월	29,700
코딩런 반려동물키우기  with 엔트리	놀이교육콘텐츠랩	마린북스	2025년 12월	13,500
포토샵+일러스트레이터 CC 2026 무작정 따라하기	문수민, 민지영, 앤미디어, 전은재	길벗	2026년 01월	23,400
현직교사가 만든 가장 쉬운 미리캔버스 수업 활용! MiriCanvas(미리캔버스)로 무엇이든 만들 수 있다	김동은, 김효민, 박채린, 이희정, 임준열	광문각출판미디어	2025년 12월	21,000
리더는 AI에게 질문하지 않는다	김희연	북피움	2026년 01월	20,700
이펙티브 타입스크립트 2판	댄 밴더캄, 장원호	인사이트(insight)	2025년 12월	31,500
요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성	김동학	골든래빗	2026년 01월	25,200
AI 잘 쓰는 디자이너	전하린	이지스퍼블리싱	2025년 12월	18,900
따라 하면서 완성하는 AWS 인프라 구축 입문	최진영(럭키바닐라 3세)	위키북스	2026년 01월	31,500
Dify, 코딩 없이 AI 앱 개발의 시작	멀티코어, 조준희, 강장묵, 이상한, 윤철희	프리렉	2025년 12월	22,500
일잘러의 무기가 되는 엑셀 대시보드	최준선	한빛미디어	2025년 12월	24,300
주얼리 디자인을 위한 미드저니(Midjourney) 가이드	김규승	청담북스	2025년 11월	23,750
AI 자율학습 밑바닥부터 배우는 AI 에이전트	다비드스튜디오	길벗	2025년 12월	21,600
피지컬 AI 컴퓨팅 센서편	김석진, 박경민, 신승호	골든벨	2026년 01월	31,350
AI와 언어학	이은송	커뮤니케이션북스	2025년 12월	12,000
키득키득반반한 코딩 어린이스크래치&엔트리with 인터넷+AI	놀이교육콘텐츠랩	마린북스	2025년 11월	12,600
AI와 패션 디자인 (큰글자책)	마진주, 정연이	커뮤니케이션북스	2025년 12월	25,000
키득키득 반반한 OA 파워포인트&한글 with 인터넷+AI	놀이교육콘텐츠랩	마린북스	2025년 11월	12,600
AI 법률문서 작성법 : 형사사건편	김종엽	박영사	2025년 12월	28,000
요즘 바이브 코딩 제미나이 CLI 완벽 가이드	김진환	골든래빗	2025년 12월	23,400
Do it! HTML+CSS 웹 표준의 정석	고경희	이지스퍼블리싱	2025년 11월	26,550
한 권으로 끝내는 올인원 피그마	오시내	제이펍	2025년 12월	31,500
현직교사가 만든 가장 쉬운 캔바 수업 활용! 캔바로 무엇이든 만들 수 있다	이서영, 유상숙, 양지현, 이상현	광문각출판미디어	2025년 11월	19,000
Prisma로 배우는 TypeScript 데이터베이스 프로그래밍 Prisma ORM 입문	이규호	콩콩 컴퍼니	2025년 10월	29,400
공공기관 업무혁신을 위한 AI플레이북	신철, 김용환, 권영우, 최은호, 전영달, 윤기영, 김근오	6G웰니스	2025년 11월	20,700
AI와 무용 교육	김경미	커뮤니케이션북스	2025년 11월	12,000
도메인 주도 설계를 위한 함수형 프로그래밍	스콧 블라신, 박주형	제이펍	2025년 11월	28,800
PyTorch로 배우는 딥러닝과 생성형 AI	박유성	자유아카데미	2025년 11월	43,000
직장인을 위한 미드저니 이미지 & 영상 제작	고희청, 박범희	성안당	2025년 11월	24,300
파이썬 for Beginner	우재남	한빛아카데미	2025년 11월	26,000
AI 개발자가 되고 싶으세요?	배휘동, 홍석용, 오현우, 정금호, 최남규, 정보 더 보기/감추기, 배휘동, 홍석용, 오현우, 정금호, 최남규, 김성완	로드북	2025년 11월	22,500
레트로 게임 만들기 with 파이썬	조수현, 김이현, 이승현, 노근우	루비페이퍼	2025년 11월	31,500
바이브 코딩	이석현	아이콕스(iCox)	2025년 11월	24,300
운영체제	박규석, 배인한, 김영찬	생능출판사	2025년 11월	28,000
PLAY! SOLIDWORKS 2026 ASSEM&DRAW BASIC	원동현	청담북스	2025년 10월	19,000
PLAY! SOLIDWORKS 2026 PART BASIC	원동현	청담북스	2025년 10월	20,900
핸즈온 바이브 코딩	정도현	한빛미디어	2025년 10월	19,800
파이썬으로 시작하는 머신러닝+딥러닝	강지영	아이리포	2025년 11월	25,200
이것이 UX/UI 디자인이다	조성봉	위키북스	2025년 10월	31,500
코딩 1도 몰라도 커서 AI와 대화하며 7가지 프로그램 만들기	이상용, 정동진	앤써북	2025년 10월	16,200
SAP Public Cloud와 Private Cloud Edition 완전 정복	권영근	북랩	2025년 10월	31,500
AI 음악 생성기, 수노(큰글자책)	양종모, 박은비	커뮤니케이션북스	2025년 10월	25,000
AI와 정밀 의료	김효정	커뮤니케이션북스	2025년 10월	12,000
나노 바나나	문수민, 박범희, 앤미디어	생능북스	2025년 11월	21,600
AI와 전문직의 미래	김예성	커뮤니케이션북스	2025년 10월	12,000
가장 상세한 엑셀 함수 대백과	쿠니모토 아츠코, 류승우	영진닷컴	2025년 10월	25,200
한글 2022	전경숙	교학사	2025년 10월	13,500
스타트업 서비스 설계는 처음인데요	강대명	더 타이즈	2025년 10월	29,700
리액트, Next.js로 완성하는 프론트엔드	강경석	영진닷컴	2025년 10월	32,400
예제로 배우는 CATIA V5 기초	김한승, 강병호, 김창완	좋은땅	2025년 02월	19,800
UX 교과서	앤서니 콘타, 이미령	길벗	2025년 10월	29,700
할루시네이션을 줄여주는 프롬프트 엔지니어링	한성민	한빛미디어	2025년 09월	28,800
돈 되는 AI, 어디서부터 무엇을 어떻게 해야 할까	장동인	리코멘드	2025년 09월	22,500
AI와 미술 교육	손지현	커뮤니케이션북스	2025년 09월	12,000
디지털 마케팅 용어 도감	다케우치 테츠야, 김모세	정보문화사	2025년 09월	20,700
코딩테스트로 배우는 파이썬 문제 풀이로 문법과 알고리즘을 한 번에 끝내는 실전 입문서	엄가온	콩콩 컴퍼니	2025년 09월	19,300
요즘 개발자를 위한 시스템 설계 수업	디렌드라 신하, 테자스 초프라, 양문규	길벗	2025년 09월	31,500
AI와 여가·관광	이정은	휴먼북스(교재)	2025년 08월	20,000
크리핵티브의 한 권으로 끝내는 웹 해킹 바이블	하동민(크리핵티브)	한빛미디어	2025년 10월	54,000
처음 배우는 명암·구도·배색 : 그리고 싶은 그림을 배우는 일러스트 기초	시마자키 조제, 고영자	영진닷컴	2025년 09월	18,000
헤드 퍼스트 소프트웨어 아키텍처	라주 간디, 마크 리처드, 닐 포드, 유동환, 최영수	한빛미디어	2025년 09월	33,300
밑바닥부터 시작하는 웹 브라우저	파벨 판체카, 크리스 해럴슨, 이형욱, 최병운	한빛미디어	2025년 09월	40,500
AI 3대 강국	박영선	나남출판사	2025년 09월	16,200
생성형 AI와 엔트리로 12가지 인공지능 작품 만들기 with 뤼튼, 캔바, 미리캔버스, 투닝, ChatGPT, 위스크, 수노	전진아, 김수연	앤써북	2025년 09월	18,900
미드저니와 ComfyUI로 완성하는, 게임 그래픽	양영민	비엘북스	2025년 08월	29,700
AI와 문화 기술	김돈정	커뮤니케이션북스	2025년 09월	12,000
초보자도 쉽게 배우는 엑셀 2024 길라잡이	김영주	정보문화사	2025년 09월	20,700
AI와 국악 창작 교육	권혜근, 정영선	커뮤니케이션북스	2025년 08월	12,000
데이터 리터러시를 높이는 데이터 시각화	네이선 야우, 한상택	인사이트(insight)	2025년 09월	29,700
프롬프트 엔지니어의 업무 가이드북	최영우	책과나무	2025년 08월	19,800
쓱 하고 싹 배우는 미리캔버스	김영미	영진닷컴	2025년 08월	12,600
정지훈의 양자 컴퓨터 강의	정지훈	한빛미디어	2025년 08월	21,600
된다! 하루 만에 만드는 AI 사진 & 이미지	김원석	이지스퍼블리싱	2025년 08월	16,020
Do it! 알고리즘 코딩 테스트 파이썬 편	김종관	이지스퍼블리싱	2025년 09월	31,500
라즈베리파이5로 구현하는 사물인터넷(IoT)과 인공지능(AI) 자율주행 자동차	이현, 김경연, 김명생	광문각	2025년 08월	26,000
돌꿈_컴기초꿈트리(윈도우11_AI 친구들)	KIE 기획연구실, 방컴(쌤과 아이들)	아카데미소프트	2025년 09월	12,600
데이터ㆍAI 시스템 아키텍트를 위한 실무 가이드	윤대희	위키북스	2025년 08월	37,800
챗GPT와 엑셀로 만드는 주식 & 암호화폐 자동매매 시스템	설근민	제이펍	2025년 08월	22,500
AI 영상×미드저니·런웨이·소라·클링·하이루오	안재홍	길벗	2025년 08월	23,400
그림으로 개념 잡는 네트워크 입문	C.I.K	앤써북	2025년 08월	15,930
LLM 상담과 심리 치료	강수정	커뮤니케이션북스	2025년 08월	12,000
딥러닝 제대로 이해하기	사이먼 J. D. 프린스, 고연이	제이펍	2025년 08월	34,200
챗GPT와 함께하는 주식 데이터 분석	이진규, 김동준	영진닷컴	2025년 08월	19,800
교사를 위한 실무 한글 _ 학교 업무 효율성 높이는 66제	한동규	앤써북	2025년 08월	15,930
챗GPT 공부 혁명	전지영, 백수현, 이효진, 장수영, 손소영	포르체	2025년 08월	20,700
AI와 미래 자율 제조	원홍인, 이상아, 윤종필, 이상목	커뮤니케이션북스	2025년 08월	12,000
Do it! 알고리즘 코딩 테스트 C++ 편	김종관	이지스퍼블리싱	2025년 08월	35,100
기업과 고객을 파괴하는 해킹과 사이버 보안의 모든 것	유진 스파포드, 리 메트칼프, 조사이어 다이크스트라, 김경곤, 장은경, 정보 더 보기/감추기, 유진 스파포드, 리 메트칼프, 조사이어 다이크스트라, 김경곤, 장은경, 박기성	책만	2025년 08월	29,700
AI와 디지털 헬스케어	임미가	커뮤니케이션북스	2025년 08월	12,000
만화로 쉽게 배우는 시계열 분석	다카하시 이치로, 권기태	성안당	2025년 07월	16,200
아는 만큼 보이는 생성형 AI	김주영	길벗	2025년 07월	19,800
가장 쉬운 독학 캔바 첫걸음	원정민, 조영진, 신명진, 이상수	동양북스(동양books)	2025년 07월	24,750
오늘부터 회사에서 AI 합니다	이활석, 업스테이지 AI 교육 부문	디지털북스	2025년 07월	19,800
쉽게 배우는 운영체제	조성호	한빛아카데미	2025년 07월	33,000
라이노 3D로 주얼리를 만들자	김현철	창조와지식	2025년 07월	23,400
AI 의인화	김보경, 김소연	커뮤니케이션북스	2025년 07월	12,000
구글 AI Gemini 그림 초등왕	코딩 코치스	BOOKK(부크크)	2025년 07월	15,800
인프라 엔지니어의 교과서	사노 유타카, 김성훈	길벗	2025년 07월	19,800
AI 융합 교육 교사	김귀훈	커뮤니케이션북스	2025년 07월	12,000
생성형 AI를 활용한 논문 작성법	김귀훈	홍릉	2025년 06월	29,000
마인크래프트 건축 가이드 마법 프로젝트	Mojang Studio, 강세중	영진닷컴	2025년 07월	12,600
파이썬으로 배우는 소프트웨어와 인공지능	조행래, 윤종희, 서영석, 박영덕	영남대학교출판부(知YU智)	2025년 06월	25,000
인공 인간	수잔 슈나이더, 이해윤, 김성묵	한울아카데미	2024년 05월	22,000
잘 통하는 보고서 작성의 비밀	임영균	한빛미디어	2025년 07월	18,000
AI 에디터 커서 Cursor 완벽 가이드	키노시타 유이치로, 김모세	영진닷컴	2025년 07월	19,800
따라 하며 배우는 유니티 게임 개발	아라카와 다쿠야, 아사노 유이치, 윤준	한빛미디어	2025년 06월	21,600
실무에서 SQL을 다루는 기술	마크 사이먼, 조은옥	한빛미디어	2025년 06월	29,700
디자인 경험을 바꾸는 UX/UI 디자인 with AI	유훈식	한빛미디어	2025년 06월	28,800
생성형 AI 업무 활용 정석 - 테스팅 업무 적용편	권원일	STA(소프트웨어테스팅연구소)	2025년 06월	27,000
버려지는 디자인 통과되는 디자인 - 편집 디자인	이미정, 유은진	길벗	2025년 07월	20,700
소플의 처음 만난 Next.js	이인제	한빛미디어	2025년 06월	35,100
크리에이터를 위한 ChatGPT 활용 대전	쿠니모토 치사토, 챗GPT 연구회	정보문화사	2025년 06월	18,000
AI와 사이버 보안	이승은	커뮤니케이션북스	2025년 06월	12,000
MOS 365 Word Associate	김경희, 오해강	시대인	2025년 06월	13,500
인공지능, 주식분석 좀 부탁해	곽경일	비제이퍼블릭(BJ퍼블릭)	2025년 07월	21,600
상상력을 작품으로 미리캔버스	김지혜, KIE 기획연구실	아카데미소프트	2025년 06월	12,600
생성형 AI 활용 백과사전	다쿠치 카즈히로, 모리시마 료코, 이시타니 마사키, 서수환	길벗	2025년 06월	21,600
깃허브 액션으로 구현하는 실전 CI/CD 설계와 운영	노무라 도모키, 김완섭	제이펍	2025년 07월	25,200
기후 위기와 인공지능	이천환	커뮤니케이션북스	2025년 06월	12,000
테디노트의 랭체인을 활용한 RAG 비법노트 [심화편]	이경록	리코멘드	2025년 06월	25,200
C# 교과서	박용준	길벗	2025년 06월	35,100
AI로 하루 만에 영상 만들기 with 런웨이	송태민, 서광민	한빛미디어	2025년 06월	18,000
코딩런 픽셀월드 대모험 피스켈&엔트리	코딩연구소	마린북스	2025년 05월	13,500
AI가 대체하는, 대체 못하는 노동	김관욱	커뮤니케이션북스	2025년 06월	12,000
LUVIT♥ 실전 백엔드 러스트 Axum 프로그래밍	윤인도	제이펍	2025년 06월	22,500
AI와 교육 연극 (큰글자책)	한귀은	커뮤니케이션북스	2025년 06월	25,000
입문자를 위한 맞춤형 AI 프로그램 만들기	다비드스튜디오	길벗	2025년 06월	25,200
좋아 보이는 것들의 비밀, 컬러	최경원	길벗	2025년 06월	26,100
회사에서 바로 쓰는 AI 치트키	이혜정, 윤재현, 엄혜경	애드앤미디어	2025년 06월	18,000
픽셀 아트 마스터 컬렉션	ZiMA, 나나미 유키, asaha, 아히루 히츠지, Zennyan, 정보 더 보기/감추기, ZiMA, 나나미 유키, asaha, 아히루 히츠지, Zennyan, m7kenji, 송지연	AK(에이케이 커뮤니케이션즈)	2025년 05월	24,220
탄탄한 기초를 위한 PLC 프로그래밍(XGB series)	김진태, 이현옥	예문사	2025년 05월	26,100
당근 하나로 매출 2배, 동네 1등 가게 만드는 실전 전략	서혜미	아티오	2025년 05월	15,300
AI를 활용한 법률문서 작성법	김종엽	(주)박영사	2025년 05월	27,000
열정민쌤의 챗GPT&AI 수업 실전서	원정민, 권혜영, 신명진, 이채연	한빛미디어	2025년 05월	18,000
네이버 스마트스토어 운영하기	서미진	한빛미디어	2025년 05월	18,900
AI와 게임 인문학 (큰글자책)	박주희	커뮤니케이션북스	2025년 04월	25,000
AI와 회계사	윤양인	커뮤니케이션북스	2025년 05월	12,000
AI 영상 제작 트렌드	진승현	커뮤니케이션북스	2025년 05월	12,000
혼자 만들면서 공부하는 딥러닝	박해선	한빛미디어	2025년 05월	25,200
AI와 정책 홍보의 변화	정휘관	커뮤니케이션북스	2025년 05월	12,000
Do it! 오토캐드 2026	박한울	이지스퍼블리싱	2025년 05월	26,550
LLM 엔지니어링	폴 이우수틴, 막심 라본, 조우철	한빛미디어	2025년 05월	34,200
AI 대전환 시대, 나는 리더	김기진, 황교석, 이재실, 최규철, 김택수, 정보 더 보기/감추기, 김기진, 황교석, 이재실, 최규철, 김택수, 마은경, 이소민, 채명석, 김대경, 최준오	에릭스토리	2025년 04월	15,300
AI 콘텐츠 트렌드	김민지	커뮤니케이션북스	2025년 04월	12,000
실리콘밸리에서 통하는 파이썬 인터뷰 가이드	런젠펑, 취안수쉐, 신준기	제이펍	2025년 05월	24,300
알고리즘으로 철학하기	변정수	이상북스	2025년 04월	23,400
AI와 미래 의사	임채영	커뮤니케이션북스	2025년 04월	12,000
AI와 미래 사회	손현주	커뮤니케이션북스	2025년 04월	12,000
처음부터 시작하는 Next.js / React 개발 입문	미요시 아키, 김모세	AK(에이케이 커뮤니케이션즈)	2025년 04월	33,440
예제로 배우는 C++ STL	빌 와인먼, 유동환	영진닷컴	2025년 04월	29,700
이게 되네? 챗GPT 미친 크롤링 24제	박현규	골든래빗	2025년 04월	23,400
씽크톡톡 엑셀 2021	도용화, 금미정	웰북	2025년 04월	9,000
인스타그램 마케팅으로 돈벌기	최영인	성안당	2025년 04월	22,500
AI와 반도체	최종수	커뮤니케이션북스	2025년 04월	12,000
할 수 있다! 스마트폰을 활용한 영상 촬영 편집 with 키네마스터	황점희	시대인	2025년 04월	10,800
어른을 위한 이것이 인공지능이다	김명락	슬로디미디어	2025년 04월	15,120
일러스트와 만화를 위한 포즈 노하우	마츠오카 신지, 고영자	영진닷컴	2025년 04월	18,000
AI, 공정과 편향	박규동, 김근혜	커뮤니케이션북스	2025년 03월	12,000
교사를 위한 생성형 AI 활용 수업	김종혜	생능북스	2025년 04월	14,400
CATIA(카티아) 쉽게 따라하기	정경애	구민사	2025년 04월	28,800
이토록 쉬운 IT 인프라 기초	장두환	루비페이퍼	2025년 04월	19,800
50개의 프로젝트로 완성하는 파이썬 업무 자동화	오토코더	위즈앤북	2025년 03월	19,800
우아한 C 언어 코딩 패턴	크리스토퍼 프레셰른, 정기훈	인사이트(insight)	2025년 04월	28,800
챗GPT 일타강사의 직장인 업무 만렙 공략집	이승필	한빛미디어	2025년 03월	21,600
요즘 우아한 AI 개발	우아한형제들	골든래빗	2025년 04월	21,600
AI 사고철학	이준헌, 조민호	더로드	2025년 03월	18,000
한 권으로 끝내는 미드저니	민자경	에듀웨이	2025년 04월	20,700
아이패드 디지털 캘리그라피 N잡러 되기	우연주	아티오	2025년 03월	17,550
숏폼 영상 편집 3일 만에 마스터하기 with 캡컷(Capcut)	김근아	아티오	2025년 03월	12,600
현업 기획자 마이즈가 알려주는 게임 시나리오 스쿨	김현석	초록비책공방	2025년 03월	23,400
THE 포토샵	김은혜	길벗	2025년 03월	23,400
인공지능의 몸들	심귀연	커뮤니케이션북스	2025년 02월	12,000
대체 불가능한 디자이너 되기	오완원	길벗	2025년 03월	19,800
이토록 쉬운 10가지 프로젝트로 끝내는 트랜스포머 활용 가이드 with 파이토치	프렘 팀시나, 임선집	루비페이퍼	2025년 02월	25,200
처음 시작하는 디지털 드로잉 with 스케치북	이은지	시대인	2025년 02월	17,100
트래픽을 쓸어 담는 SEO 마케팅	김건오, 양효원	e비즈북스	2025년 02월	23,400
AI를 활용한 숏폼영상 제작가이드	장세인	위메이크북	2025년 02월	18,000
NEW 우당탕탕 컴퓨터와 친해지기	놀이교육콘텐츠랩	마린북스	2025년 02월	12,600
막힘없이 PostgreSQL	임경석, 김철환, 박관규, 김규민	엑셈	2025년 01월	28,800
AI와 인문학의 주제들	정서현, 우동현, 김동우	커뮤니케이션북스	2025년 02월	12,000
한 시간 만에 게임 만들기	게임도칸, 김은철, 유세라	영진닷컴	2025년 01월	23,400
이것이 생성형 AI다	김명락	슬로디미디어	2025년 02월	15,120
대표 전략으로 입문하는 미국 주식 퀀트 투자	이용환	프리렉	2025년 02월	27,000
왕초보 맞춤형 랜선 사수 올이 엑셀	올이	한빛미디어	2025년 01월	18,900
트랜스포머로 시작하는 언어 모델과 생성형 인공지능	추형석	위즈앤북	2025년 01월	16,020
ChatGPT 마케팅	임헌수	이코노믹북스	2025년 01월	22,500
데이터 마이닝 개념과 기법 4/e	지아웨이 한, 지안 페이, 항항 통, 동준상	에이콘출판사	2025년 01월	49,500
스마트폰과 AI로 소통하는 새로운 세상	이종구, 이태훈, 어현경, 지영희	디지털콘텐츠그룹	2025년 01월	16,200
챗GPT와 함께 만드는 초등 수업 디자인 ++	박준원, 김지현, 김병남, 이홍락, 김한준, 정보 더 보기/감추기, 박준원, 김지현, 김병남, 이홍락, 김한준, 이종상, 박주현, 김은협, 김도현, 공민수, 이정진	앤써북	2025년 01월	15,930
스마트폰, 학교 수업에 들어오다!	박만재	다빈치books	2025년 01월	28,800
교실에서 바로 쓰는 챗GPT 교사 활용법	유수근	앤써북	2025년 01월	17,820
C 언어 마스터	문석재	한빛아카데미	2025년 01월	32,000
머신 러닝 마스터 클래스	민재식	인사이트(insight)	2025년 01월	22,500
AI, 너 내 마케터가 돼라!	오종현	e비즈북스	2025년 01월	16,200
시니어를 위한 스마트폰 활용 with 챗GPT	곽민철, 정희철	생능북스	2025년 01월	17,820
Vue 3와 타입스크립트로 배우는 프런트엔드 개발	WINGS 프로젝트, 사이토 신조, 손민옹, 야마다 요시히로	한빛미디어	2025년 01월	32,400
프리미어프로 비디오효과사전	코모사전	BOOKK(부크크)	2024년 11월	35,000
부모님을 위한 참 다정한 스마트폰 안내서	백준사	빚은책들	2025년 01월	19,800
이원철TV의 스마트폰 사용 설명서	이원철	시대인	2024년 12월	15,300
인공지능 법과 윤리	김명훈	길벗캠퍼스	2024년 12월	29,500
독학 파이썬	야마다 요시히로, 윤모린	정보문화사	2024년 12월	28,800
업무 효율이 10배 오르는 챗GPT X 엑셀 활용법	다케이 가즈미, 구수영	AK(에이케이 커뮤니케이션즈)	2024년 12월	18,810
캐릭터 일러스트 강좌 with 프로크리에이트	딥 블리자드, 신상재	ZZOM	2024년 12월	19,800
AI 고속도로	송경창	밝은사람들	2024년 11월	20,900
임종수의 STM32 Cortex-M 완벽 활용서 Vol.1	임종수	버무림	2024년 11월	38,700
데이터 과학 기반의 파이썬 빅데이터 분석	이지영	한빛아카데미	2024년 11월	31,000
Do it! 코드 없이 배우는 데이터 분석 with 오렌지3	권서림	이지스퍼블리싱	2024년 12월	16,920
어른들을 위한 가장 쉬운 워드&엑셀	혜지원 기획팀	혜지원	2024년 11월	13,500
AI로 이미지, 영상, 음악 한 번에 끝내기	이현	천그루숲	2024년 11월	16,200
데이터시각화를 하는 가장 쉬운 방법 by 구글 루커 스튜디오	천영훈	디지털북스	2024년 12월	18,000
디지털 일러스트 빛과 그림자 그리기 사전	조우노세, 김재훈	한스미디어	2024년 11월	22,500
코딩 없이 배우는 데이터 분석	황보현우, 한노아	성안북스	2024년 11월	31,500
처음 배우는 플러터 앱 개발	후지카와 케이, 이영란	생능북스	2024년 11월	18,000
현장 중심의 프로젝트 매니지먼트	하시모토 마사요시, 정인식	제이펍	2024년 11월	19,800
플러터와 Node.js로 시작하는 풀스택 개발	김진형	영진닷컴	2024년 11월	32,400
소플의 처음 만난 AWS	이인제	한빛미디어	2024년 11월	43,200
AI 영화 제작	민지영, 문수민, 전은재, 앤미디어	길벗	2024년 11월	24,300
미리캔버스로 완성하는 콘텐츠 디자인	이상권	시대인	2024년 10월	16,200
AI는 어떻게 예술이 되는가	라이언 오슬링, 박선주, 박승순, 안소정, 양나리, 정보 더 보기/감추기, 라이언 오슬링, 박선주, 박승순, 안소정, 양나리, 조영각, 권한슬, 구도형	스튜디오사월	2024년 10월	18,000
이것이 우분투 리눅스다	우재남, 박길식	한빛미디어	2024년 11월	32,400
머니코치 최준호의 네이버 3대장 마케팅	최준호	한빛미디어	2024년 10월	19,800
규칙으로 배우는 임베디드 시스템: CPU 이론 및 펌웨어 개발 규칙	장선웅	북랩	2024년 10월	18,000
규칙으로 배우는 임베디드 시스템: 회로 설계 및 PCB 설계 규칙	장선웅	북랩	2024년 10월	27,000
이토록 쉬운 챗GPT로 마케팅 데이터 분석하기	박경아	루비페이퍼	2024년 10월	19,800
핸즈온 그래프 인공신경망 with Python	Maxime Labonne, 김현우, 정지수, 윤성준, 박진영	홍릉	2024년 10월	35,000
난생처음 인공지능 입문	서지영	한빛아카데미	2024년 10월	27,000
임종수의 STM32 Cortex-M 완벽활용서 Vol. 2	임종수	버무림	2024년 10월	43,200
삼성에서 ERP로 먹고사는 컨설턴트가 알려주는 SAP	주호재, 서기준	생능북스	2024년 10월	20,700
한컴오피스 2024	윤관식	가나출판사	2024년 10월	20,700
FastAPI로 배우는 백엔드 프로그래밍 with 클린 아키텍처	한용재	제이펍	2024년 10월	22,500
인공지능이 다 해주는 브루 Vrew 영상 편집	지현이, 브루 개발팀	시프트	2024년 10월	18,000
1일 1단어 1분으로 끝내는 AI공부	최재운	글담	2024년 10월	15,300
정보보안 관제 및 운영 자동화 실무 가이드	최대수	에이콘출판사	2024년 09월	27,000
AI 에이전트와 사회 변화	이경전	커뮤니케이션북스	2024년 09월	11,400
테라폼으로 시작하는 IaC	김민수, 김재준, 이규석, 이유종	한빛미디어	2024년 09월	28,800
로블록스 코딩 마스터하기	마크 키프, 이진수	영진닷컴	2024년 09월	28,800
원큐패스 나는야 엔트리 게임 개발자	이영호, 최홍송	다락원	2024년 09월	15,300
챗GPT로 데이터 분석 가로채기	박경하	디지털북스	2024년 09월	15,300
챗GPT API를 활용한 챗봇 만들기	이승우	한빛미디어	2024년 08월	28,800
아케이드 게임 타이포그래피	오마가리 토시, 무로가 기요노리, 박희원	안그라픽스	2024년 08월	33,250
우리는 왜 게임을 하는가?	하얀쥐	골든래빗	2024년 09월	21,600
코드 밖 커뮤니케이션	재퀴 리드, 곽지원	한빛미디어	2024년 08월	21,600
AI 시대의 프로그래머	톰 타울리, 이일섭, 황은옥	한빛미디어	2024년 08월	20,700
블렌더로 애니 그림체 캐릭터를 만들어보자! : 모델링편	나츠모리 카츠, 김모세	AK(에이케이 커뮤니케이션즈)	2024년 08월	38,520
